label,hand,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
hello,Right,0.286783,0.466285,0.0,0.344668,0.48396,-0.011695,0.394691,0.450726,-0.012929,0.429355,0.405387,-0.01514,0.457986,0.370793,-0.017471,0.407101,0.355469,0.003593,0.44843,0.307235,-0.007669,0.473709,0.281594,-0.019123,0.498227,0.260383,-0.027933,0.39353,0.31606,-0.000964,0.438678,0.251565,-0.011331,0.468216,0.218049,-0.023061,0.493589,0.194299,-0.031733,0.37287,0.289935,-0.008785,0.413114,0.219804,-0.021602,0.439615,0.182338,-0.031017,0.462431,0.156957,-0.036647,0.344375,0.274879,-0.018247,0.374585,0.215613,-0.030754,0.396119,0.180267,-0.036854,0.417026,0.151501,-0.040312
hello,Right,0.292296,0.409292,0.0,0.351465,0.439725,-0.009457,0.404942,0.428537,-0.010719,0.443276,0.389858,-0.01341,0.470869,0.357616,-0.01658,0.427953,0.345177,0.002963,0.473498,0.2993,-0.008647,0.496315,0.270902,-0.021024,0.517098,0.246306,-0.030017,0.415578,0.301829,-0.001926,0.46408,0.246337,-0.011558,0.494222,0.2121,-0.024097,0.519274,0.182577,-0.03413,0.396124,0.269245,-0.009551,0.440314,0.211125,-0.019934,0.4674,0.179222,-0.029365,0.490481,0.154446,-0.036212,0.369457,0.24346,-0.018678,0.403524,0.19426,-0.028203,0.424489,0.16548,-0.032869,0.443698,0.139595,-0.036069
hello,Right,0.298912,0.362179,0.0,0.35558,0.400864,-0.009561,0.408785,0.399996,-0.009911,0.451106,0.36822,-0.011608,0.480412,0.337056,-0.013218,0.439814,0.326067,0.011121,0.487965,0.290169,0.001767,0.512753,0.263703,-0.010314,0.534509,0.240635,-0.019292,0.431019,0.283117,0.00723,0.481662,0.23961,-0.00023,0.51282,0.210923,-0.012624,0.537952,0.185352,-0.022474,0.414548,0.248311,2.8e-05,0.461642,0.204176,-0.008942,0.489608,0.180398,-0.018029,0.512584,0.160629,-0.024601,0.390437,0.21719,-0.008829,0.426068,0.181414,-0.017405,0.448389,0.163229,-0.021618,0.469337,0.147111,-0.024484
hello,Right,0.313835,0.329595,0.0,0.362968,0.374976,-0.011481,0.413951,0.385756,-0.012356,0.454646,0.352458,-0.013855,0.48001,0.320311,-0.015271,0.448485,0.324573,0.007946,0.497103,0.294926,-0.00073,0.521592,0.268913,-0.012223,0.543266,0.2471,-0.021077,0.442807,0.279408,0.005616,0.493941,0.244732,-0.00082,0.524842,0.221347,-0.01312,0.550785,0.201443,-0.023425,0.428584,0.243706,6.8e-05,0.475061,0.208479,-0.007721,0.502727,0.190257,-0.017776,0.52685,0.175211,-0.02561,0.407055,0.210217,-0.007261,0.442543,0.181633,-0.015278,0.46522,0.168757,-0.020743,0.487339,0.158052,-0.025056
hello,Right,0.325676,0.313145,0.0,0.362663,0.358696,-0.012306,0.410343,0.372908,-0.013941,0.44922,0.348053,-0.015462,0.474763,0.328041,-0.016876,0.452324,0.32431,0.00085,0.498319,0.301596,-0.007579,0.523663,0.281642,-0.01756,0.546924,0.263545,-0.025344,0.448513,0.281891,-0.000746,0.498151,0.25571,-0.007196,0.528143,0.236727,-0.017319,0.553584,0.219818,-0.025706,0.436546,0.246676,-0.005015,0.481011,0.219745,-0.012315,0.506847,0.206638,-0.020261,0.529008,0.195208,-0.026312,0.417551,0.213418,-0.011028,0.453814,0.190942,-0.018594,0.475566,0.18217,-0.022938,0.495567,0.175547,-0.026101
hello,Right,0.332809,0.303875,0.0,0.365648,0.347081,-0.013551,0.411211,0.364065,-0.01643,0.449958,0.343259,-0.01906,0.476851,0.321158,-0.021598,0.452204,0.3251,-0.001879,0.498431,0.307068,-0.012306,0.524727,0.290898,-0.022949,0.547541,0.275604,-0.030733,0.450463,0.285031,-0.003113,0.499062,0.26727,-0.01159,0.530436,0.251674,-0.022116,0.555885,0.236071,-0.030325,0.440248,0.250737,-0.007121,0.484417,0.231944,-0.015948,0.511651,0.221161,-0.024345,0.534649,0.210722,-0.030536,0.422594,0.217646,-0.012881,0.456051,0.200562,-0.021354,0.477211,0.189783,-0.026141,0.497302,0.178851,-0.02961
hello,Right,0.33776,0.298667,0.0,0.367096,0.342432,-0.015114,0.411425,0.361717,-0.01899,0.45146,0.344958,-0.022123,0.480131,0.32592,-0.024836,0.452771,0.32745,-0.003242,0.497756,0.315264,-0.013799,0.524161,0.301001,-0.024231,0.546827,0.286659,-0.031747,0.451232,0.288089,-0.003479,0.498878,0.274889,-0.011796,0.530258,0.262077,-0.021364,0.556153,0.248949,-0.028693,0.441593,0.253885,-0.006642,0.48514,0.240863,-0.015033,0.512041,0.233938,-0.022434,0.535059,0.22709,-0.027693,0.424785,0.219763,-0.011707,0.458737,0.203811,-0.020176,0.481361,0.195078,-0.024929,0.503091,0.187522,-0.028074
hello,Right,0.336397,0.305058,0.0,0.367323,0.349367,-0.013352,0.410688,0.368777,-0.016392,0.449629,0.354146,-0.019099,0.475154,0.327955,-0.021784,0.451255,0.330406,-0.000752,0.495083,0.319186,-0.009851,0.521511,0.307587,-0.019693,0.544957,0.294769,-0.027303,0.450232,0.29357,-0.002249,0.497393,0.281754,-0.009625,0.528129,0.270634,-0.019301,0.553926,0.258053,-0.026831,0.440566,0.260562,-0.006455,0.484753,0.247442,-0.014781,0.511129,0.240544,-0.0227,0.53402,0.233499,-0.028354,0.422969,0.226326,-0.012372,0.456853,0.21085,-0.021015,0.479484,0.204252,-0.025979,0.501354,0.199282,-0.029409
hello,Right,0.33826,0.311286,0.0,0.369134,0.357331,-0.012228,0.413633,0.373698,-0.014372,0.45199,0.358074,-0.016391,0.479615,0.341073,-0.018395,0.452752,0.339501,-1.5e-05,0.496435,0.326468,-0.008631,0.522159,0.315216,-0.017797,0.54417,0.304872,-0.024802,0.451038,0.300276,-0.001586,0.497732,0.287014,-0.008658,0.527546,0.276457,-0.018009,0.552297,0.265697,-0.025285,0.441004,0.266103,-0.005803,0.484619,0.252056,-0.013923,0.510693,0.24613,-0.021821,0.533886,0.240742,-0.027502,0.423851,0.232104,-0.011583,0.457692,0.21948,-0.020005,0.479285,0.215034,-0.025075,0.501014,0.212537,-0.028675
hello,Right,0.333216,0.312371,0.0,0.368529,0.358376,-0.012447,0.413406,0.374252,-0.014287,0.452981,0.356265,-0.016267,0.482101,0.341121,-0.01801,0.450763,0.336524,0.002983,0.494579,0.325145,-0.005482,0.520164,0.312777,-0.014907,0.54337,0.301078,-0.02226,0.449073,0.29785,0.001251,0.496576,0.286354,-0.005639,0.526722,0.27538,-0.015489,0.552218,0.263492,-0.023337,0.439158,0.264275,-0.003443,0.482397,0.250172,-0.011476,0.507676,0.244057,-0.019429,0.530449,0.238407,-0.025272,0.421801,0.230466,-0.009873,0.454956,0.217048,-0.018171,0.476026,0.212388,-0.023163,0.497294,0.209624,-0.026805
